   1)   0.048 us    |        _cond_resched();
   1)               |        get_page_from_freelist() {
   1)   0.047 us    |          __inc_zone_state();
   1)   0.046 us    |          __inc_zone_state();
   1)   1.737 us    |        }
   1)   2.649 us    |      }
   1)   5.487 us    |    }
   1)               |    mem_cgroup_try_charge() {
   1)   0.062 us    |      get_mem_cgroup_from_mm();
   1)   0.054 us    |      try_charge();
   1)   0.919 us    |    }
   1)   0.056 us    |    _raw_spin_lock();
   1)               |    page_add_new_anon_rmap() {
   1)   0.040 us    |      __mod_node_page_state();
   1)   0.052 us    |      __page_set_anon_rmap();
   1)   1.015 us    |    }
   1)               |    mem_cgroup_commit_charge() {
   1)   0.048 us    |      mem_cgroup_charge_statistics();
   1)   0.051 us    |      memcg_check_events();
   1)   1.277 us    |    }
   1)               |    lru_cache_add_active_or_unevictable() {
   1)   0.059 us    |      __lru_cache_add();
   1)   0.507 us    |    } /* lru_cache_add_active_or_unevictable */
   1) + 13.987 us   |  }
   1)               |  /* wgz memset */
   1)               |  /* wgz memset2 */
   1)               |  handle_mm_fault() {
   1)   0.059 us    |    mem_cgroup_from_task();
   1)               |    anon_vma_prepare() {
   1)   0.057 us    |      _cond_resched();
   1)   0.668 us    |    }
   1)               |    alloc_pages_vma() {
   1)   0.060 us    |      __get_vma_policy();
   1)               |      get_vma_policy.part.34() {
   1)   0.056 us    |        get_task_policy.part.31();
   1)   0.580 us    |      }
   1)   0.064 us    |      policy_nodemask();
   1)   0.060 us    |      policy_zonelist();
   1)               |      __alloc_pages_nodemask() {
   1)   0.054 us    |        _cond_resched();
   1)               |        get_page_from_freelist() {
   1)   0.054 us    |          __inc_zone_state();
   1)   0.050 us    |          __inc_zone_state();
   1)   1.967 us    |        }
   1)   3.817 us    |      }
   1)   7.041 us    |    }
   1)               |    mem_cgroup_try_charge() {
   1)   0.071 us    |      get_mem_cgroup_from_mm();
   1)   0.064 us    |      try_charge();
   1)   1.135 us    |    }
   1)   0.060 us    |    _raw_spin_lock();
   1)               |    page_add_new_anon_rmap() {
   1)   0.070 us    |      __mod_node_page_state();
   1)   0.060 us    |      __page_set_anon_rmap();
   1)   1.081 us    |    }
   1)               |    mem_cgroup_commit_charge() {
   1)   0.071 us    |      mem_cgroup_charge_statistics();
   1)   0.050 us    |      memcg_check_events();
   1)   1.053 us    |    }
   1)               |    lru_cache_add_active_or_unevictable() {
   1)   0.052 us    |      __lru_cache_add();
   1)   0.426 us    |    }
   1) + 15.248 us   |  }
   1)               |  handle_mm_fault() {
   1)   0.048 us    |    mem_cgroup_from_task();
   1)               |    anon_vma_prepare() {
   1)   0.047 us    |      _cond_resched();
   1)   0.558 us    |    }
   1)               |    alloc_pages_vma() {
   1)   0.054 us    |      __get_vma_policy();
   1)               |      get_vma_policy.part.34() {
   1)   0.052 us    |        get_task_policy.part.31();
   1)   0.505 us    |      }
   1)   0.047 us    |      policy_nodemask();
   1)   0.049 us    |      policy_zonelist();
   1)               |      __alloc_pages_nodemask() {
   1)   0.040 us    |        _cond_resched();
   1)               |        get_page_from_freelist() {
   1)   0.047 us    |          __inc_zone_state();
   1)   0.057 us    |          __inc_zone_state();
   1)               |          smp_irq_work_interrupt() {
   1)               |            irq_enter() {
   1)   0.077 us    |              rcu_irq_enter();
   1)   0.629 us    |            }
   1)               |            __wake_up() {
   1)   0.054 us    |              _raw_spin_lock_irqsave();
   1)   0.052 us    |              __wake_up_common();
   1)   0.052 us    |              _raw_spin_unlock_irqrestore();
   1)   1.297 us    |            }
   1)               |            irq_exit() {
   1)   0.067 us    |              idle_cpu();
   1)   0.055 us    |              rcu_irq_exit();
   1)   1.015 us    |            }
   1)   5.212 us    |          }
   1) + 12.752 us   |        }
   1) + 13.631 us   |      }
   1) + 16.170 us   |    }
   1)               |    mem_cgroup_try_charge() {
